longitude,latitude,owner_type,forest_id,farmer_id,district_id
32.588851,0.54519,forest,2,,3
32.588883,0.545424,forest,2,,3
32.58914,0.545861,forest,2,,3
32.590049,0.545409,forest,2,,3
32.590066,0.545245,forest,2,,3
32.590386,0.545663,forest,2,,3
32.590741,0.545458,forest,2,,3
32.590601,0.545196,forest,2,,3
32.591077,0.54479,forest,2,,3
32.591221,0.544532,forest,2,,3
32.591223,0.544332,forest,2,,3
32.591454,0.54422,forest,2,,3
32.59116,0.543855,forest,2,,3
32.591492,0.543857,forest,2,,3
32.591973,0.543428,forest,2,,3
32.591661,0.542925,forest,2,,3
32.591228,0.542902,forest,2,,3
32.590995,0.542433,forest,2,,3
