source,pays,indicateur,code_indicateur,annee,valeur
World Bank,Senegal,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2025,
World Bank,Senegal,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2024,
World Bank,Senegal,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2023,
World Bank,Senegal,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2022,26.8109117172852
World Bank,Senegal,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2021,26.8372976208333
World Bank,Senegal,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2020,26.8372976213396
World Bank,Senegal,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2019,26.837147346788
World Bank,Senegal,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2018,26.7784438660094
World Bank,Senegal,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2017,23.4190678611933
World Bank,Senegal,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2016,25.6379667278284
World Bank,Senegal,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2015,12.8182502909773
World Bank,Senegal,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2014,14.6561613155225
World Bank,Senegal,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2013,19.1370537921467
World Bank,Senegal,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2012,20.3910749539981
World Bank,Senegal,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2011,21.1053383417694
World Bank,Senegal,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2010,18.3552416774508
World Bank,Senegal,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,2009,19.4992655144401
